id,name,weight,desc,price,pricedesc,kcl /100g,ingridiance,categries
113,kapri,750,,230,215,,,sauce
114,Knorr Mashed Potato ,100,,47,39,,,SEASONINGS
115,sumac ,2000,,405,400,,,SEASONINGS
116,"Lipton green sancha tea, 25 teabags",100,,20,18,,,spices
117,"Lipton earl grey classic tea, 25 teabags",25,,80,74,,,Beverages
118,"Lipton English breakfast tea, 25 teabags",25,,80,74,,,Beverages
119,"Lipton Delicate Mint , 25 teabags",25,,80,74,,,Beverages
120,"Lipton Juicy forest fruits, 25 teabags",25,,80,74,,,Beverages
121,"Lipton Camomile Linden, 25 teabags",25,,80,74,,,Beverages
122,"Lipton Green tea & Intense Mint, 25 teabags",25,,80,74,,,Beverages
123,Aachi Tamarind Paste ,25,,80,74,,,Beverages
125,Thailand Red Curry Paste ,350,,75,73,,,Paste & Recipe
126,Clovis whole grain mustard ,350,,135,122,,,Paste & Recipe
127,pesto sun dried tomatoes ,350,,84,78,,,Paste & Recipe
128,apple vinegar,350,,62,54,,,Paste & Recipe
129,Balsamico vinegar,500,,75,73,,,vinegar
130,Thailand Green Curry Paste,500,,74,72,,,vinegar
131,Sun dried Tomatoes,400,,135,120,,,Paste & Recipe
132,Tempura Savepak Thailand,370,,76,68,,,Paste & Recipe
133,Thailand Bread Crumbs ,1000,,135,117,,,Paste & Recipe
134,Thailand Bread ,1000,,180,157,,,
